INFO  - 2014-04-29 23:09:56.913; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-04-29 23:09:57.004; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/lolz/Documents/solr-4.8.0/example/contexts at interval 0
INFO  - 2014-04-29 23:09:57.026; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/lolz/Documents/solr-4.8.0/example/contexts/solr-jetty-context.xml
INFO  - 2014-04-29 23:09:57.271; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/lolz/Documents/solr-4.8.0/example/webapps/solr.war!/ to /home/lolz/Documents/solr-4.8.0/example/solr-webapp/webapp
INFO  - 2014-04-29 23:10:04.009; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-04-29 23:10:04.249; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-04-29 23:10:04.320; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-04-29 23:10:04.322; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-04-29 23:10:04.324; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-04-29 23:10:04.798; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/lolz/Documents/solr-4.8.0/example/solr/solr.xml
INFO  - 2014-04-29 23:10:05.230; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/lolz/Documents/solr-4.8.0/example/solr
INFO  - 2014-04-29 23:10:05.256; org.apache.solr.core.CoreContainer; New CoreContainer 292761197
INFO  - 2014-04-29 23:10:05.261; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-04-29 23:10:05.313; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-04-29 23:10:05.315; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
